,fp_maphe,fp_mapve,fp_mathe,fp_matve,fp_stdphe,fp_stdpve,fp_stdthe,fp_stdtve,model,pred_maphe,pred_mapve,pred_mathe,pred_matve,pred_stdphe,pred_stdpve,pred_stdthe,pred_stdtve,products
0,100.93772538830837,6501.719375921049,103.91516549100209,4410.300997549856,74.859416404766,11251.601705263987,61.76086572349263,2753.384109736369,CONV1.0.0-LSTM1lay-OPTAdam-LOSSMSELoss()-EPOCHS500-BATCH1-RNN6_100_3,50.10790672071715,2208.4646827545525,52.98315545121232,1130.7159376228065,57.45782704844411,3586.9256111011373,60.900903214885936,1399.4067272047082,tmp
1,100.93772538830837,6501.719375921049,103.91516549100209,4410.300997549856,74.859416404766,11251.601705263987,61.76086572349263,2753.384109736369,CONV2.0.0-LSTM1lay-OPTAdam-LOSSMSELoss()-EPOCHS500-BATCH1-RNN6_100_3,50.13905672758396,2362.9615110072873,52.520180295526,1248.8109100681352,68.7472170976767,3883.536551414582,65.51328915293932,1558.703952333765,VIL&tmp
2,100.93772538830837,6501.719375921049,103.91516549100209,4410.300997549856,74.859416404766,11251.601705263987,61.76086572349263,2753.384109736369,CONV3.0.0-LSTM1lay-OPTAdam-LOSSMSELoss()-EPOCHS500-BATCH1-RNN6_100_3,46.44443452009734,2206.8903912089418,48.797892006537126,1186.6324606744786,53.04475800625383,3738.7297824623156,56.424822443029754,1537.2213488634955,ECHO_TOP&VIL&tmp
3,100.93772538830837,6501.719375921049,103.91516549100209,4410.300997549856,74.859416404766,11251.601705263987,61.76086572349263,2753.384109736369,CONV2.0.0-LSTM1lay-OPTAdam-LOSSMSELoss()-EPOCHS500-BATCH1-RNN6_100_3,47.32505088723164,2247.9492789641668,49.5784398264069,1128.2458263068688,50.45160312916027,3632.3142051493505,51.763867940375725,1430.2946889700863,tmp&vwind
4,100.93772538830837,6501.719375921049,103.91516549100209,4410.300997549856,74.859416404766,11251.601705263987,61.76086572349263,2753.384109736369,CONV2.0.0-LSTM1lay-OPTAdam-LOSSMSELoss()-EPOCHS500-BATCH1-RNN6_100_3,48.029974728688465,2220.4804462902366,50.19390079617766,1156.5021076067899,51.773413796571774,3705.99258026939,51.93746207559979,1424.4082309792504,ECHO_TOP&tmp
5,100.93772538830837,6501.719375921049,103.91516549100209,4410.300997549856,74.859416404766,11251.601705263987,61.76086572349263,2753.384109736369,CONV1.0.0-LSTM1lay-OPTAdam-LOSSMSELoss()-EPOCHS500-BATCH1-RNN6_100_3,47.99009957952252,2196.4909749814456,50.166568973623214,1097.1649687739462,49.939134101615274,3610.929992838291,51.376477134848024,1390.7988881588963,vwind
6,100.93772538830837,6501.719375921049,103.91516549100209,4410.300997549856,74.859416404766,11251.601705263987,61.76086572349263,2753.384109736369,CONV1.0.0-LSTM1lay-OPTAdam-LOSSMSELoss()-EPOCHS500-BATCH1-RNN6_100_3,48.233627047978146,2237.6995560221767,50.55974325791396,1128.1734973575835,52.8842345481716,3644.7121069805207,54.588412231961485,1420.5676911240948,uwind
7,100.93772538830837,6501.719375921049,103.91516549100209,4410.300997549856,74.859416404766,11251.601705263987,61.76086572349263,2753.384109736369,CONV2.0.0-LSTM1lay-OPTAdam-LOSSMSELoss()-EPOCHS500-BATCH1-RNN6_100_3,47.703521404004825,2193.578724538703,50.575156014101715,1092.1786879834285,56.15193853357454,3567.1464417832267,59.348498943234794,1363.0020756718598,vwind&uwind
8,100.93772538830837,6501.719375921049,103.91516549100209,4410.300997549856,74.859416404766,11251.601705263987,61.76086572349263,2753.384109736369,CONV1.0.0-LSTM1lay-OPTAdam-LOSSMSELoss()-EPOCHS500-BATCH1-RNN6_100_3,48.04893623627672,2241.436993452386,50.01688466586787,1160.065057995525,49.515977629565775,3654.967902097571,48.853849857182496,1420.2592908714266,ECHO_TOP
9,100.93772538830837,6501.719375921049,103.91516549100209,4410.300997549856,74.859416404766,11251.601705263987,61.76086572349263,2753.384109736369,CONV1.0.0-LSTM1lay-OPTAdam-LOSSMSELoss()-EPOCHS500-BATCH1-RNN6_100_3,52.68539272585916,2316.3423262763013,55.1708534866985,1230.2284659685686,68.584021947961,4083.6388876810615,67.27569789459544,1514.948393840116,VIL
10,100.93772538830837,6501.719375921049,103.91516549100209,4410.300997549856,74.859416404766,11251.601705263987,61.76086572349263,2753.384109736369,CONV2.0.0-LSTM1lay-OPTAdam-LOSSMSELoss()-EPOCHS500-BATCH1-RNN6_100_3,48.147262302432715,2222.7583224793116,50.66977566331422,1118.7194670414565,55.34190276948572,3719.7059991626993,57.596452097685074,1365.4518616406522,ECHO_TOP&VIL
