,loss
0,0.20022158
1,0.031270795
2,0.0045634243
3,0.003594612
4,0.0032228073
5,0.0029978948
6,0.00292863
7,0.00288369
8,0.0029063188
9,0.0028904944
10,0.0029324868
11,0.0028450077
12,0.0028358006
13,0.002813887
14,0.0028553584
15,0.0030652704
16,0.0028447066
17,0.0028141006
18,0.0028264504
19,0.00280554
20,0.0027878855
21,0.0027875816
22,0.0027932453
23,0.0027720595
24,0.0027686118
25,0.00276507
26,0.002761447
27,0.0027596995
28,0.002757483
29,0.0027918478
30,0.003027875
31,0.002859389
32,0.0027956355
33,0.0027716574
34,0.0027669724
35,0.002766898
36,0.0027672693
37,0.0027719464
38,0.0027563835
39,0.002746412
40,0.0027549092
41,0.0027453003
42,0.0027404847
43,0.0027351521
44,0.0027318862
45,0.0027355182
46,0.0027297381
47,0.0027309204
48,0.0027242568
49,0.002727413
50,0.0027199339
51,0.0027153853
52,0.0027126882
53,0.002709383
54,0.0027037493
55,0.00269411
56,0.0026826377
57,0.0026742944
58,0.0026687572
59,0.0026645872
60,0.0026614305
61,0.0026587124
62,0.002656528
63,0.0026544307
64,0.002652666
65,0.0026717004
66,0.0026466693
67,0.0026578961
68,0.0026530153
69,0.0026500102
70,0.0026476916
71,0.002646415
72,0.002644941
73,0.002643982
74,0.0026429608
75,0.0026423268
76,0.002641484
77,0.0026409198
78,0.0026401998
79,0.0026397428
80,0.002725357
81,0.0026722196
82,0.002645696
83,0.002654943
84,0.0026657302
85,0.0026632985
86,0.0026619236
87,0.002660834
88,0.0027175187
89,0.0026923975
90,0.0026989223
91,0.0027438116
92,0.0027247085
93,0.0027227094
94,0.002721188
95,0.0027197516
96,0.0027186787
97,0.0027175979
98,0.0027164742
99,0.0027154835
100,0.0027145706
101,0.0027132432
102,0.002679281
103,0.0026777952
104,0.002676661
105,0.0026725917
106,0.0026695007
107,0.002667897
108,0.0026664003
109,0.0026654163
110,0.0027072115
111,0.0026656718
112,0.0026636429
113,0.0026620727
114,0.0026619567
115,0.0026615937
116,0.002661224
117,0.0026604692
118,0.00265966
119,0.0026589627
120,0.002658136
121,0.0026574
122,0.0027034627
123,0.0027300871
124,0.0026910654
125,0.0026869383
126,0.002683403
127,0.002683276
128,0.0028337005
129,0.0026545236
130,0.0026531774
131,0.0028581268
132,0.0026548584
133,0.0026503012
134,0.0026485664
135,0.00264736
136,0.0026464707
137,0.0026455293
138,0.0026446334
139,0.0026436138
140,0.002641512
141,0.0026401912
142,0.0026388366
143,0.002637476
144,0.0027613488
145,0.0026337234
146,0.0026305895
147,0.0026303283
148,0.0026298922
149,0.0026293674
150,0.002628638
151,0.0026279634
152,0.0026277532
153,0.0026264999
154,0.002625629
155,0.0026247578
156,0.0026238812
157,0.0026231129
158,0.002622402
159,0.002621564
160,0.0026207191
161,0.0026200132
162,0.0026192109
163,0.0026210507
164,0.0027155525
165,0.0034488132
166,0.0027883411
167,0.0027094367
168,0.0026447596
169,0.0026278296
170,0.0026213932
171,0.002625586
172,0.002615994
173,0.0026161678
174,0.0026158004
175,0.002614902
176,0.0026144313
177,0.002613935
178,0.0026135123
179,0.0026129186
180,0.0026124427
181,0.002611781
182,0.0026123268
183,0.0026113037
184,0.0026107943
185,0.002610085
186,0.0026097521
187,0.0026093258
188,0.0026088671
189,0.00260879
190,0.0026081603
191,0.0026074764
192,0.0026070848
193,0.0026067311
194,0.0026228304
195,0.002605624
196,0.0026110262
197,0.0026256863
198,0.0026111433
199,0.0026096401
200,0.0027147983
201,0.0026730583
202,0.0026196958
203,0.0026310321
204,0.0026088653
205,0.0026062885
206,0.0026106525
207,0.0028009298
208,0.002612693
209,0.0026147265
210,0.0025997786
211,0.0026003777
212,0.0026677717
213,0.0026515224
214,0.0026324252
215,0.0026311886
216,0.0026884887
217,0.0027051342
218,0.0027035081
219,0.0027026485
220,0.0027024911
221,0.0026916445
222,0.002673999
223,0.0026750513
224,0.0026616405
225,0.0026551285
226,0.0026710662
227,0.0026474106
228,0.0026743724
229,0.0027026555
230,0.0027014895
231,0.002700316
232,0.0026991814
233,0.0026536186
234,0.0026993656
235,0.0026988978
236,0.002698162
237,0.002697533
238,0.0026970096
239,0.002822738
240,0.0026970075
241,0.0026933004
242,0.0026935614
243,0.0026938885
244,0.002693969
245,0.0026439573
246,0.0026404904
247,0.0026490793
248,0.0026971947
249,0.0026966722
250,0.0026956957
251,0.0026949926
252,0.0026921898
253,0.002691583
254,0.0026916284
255,0.0026904773
256,0.0026899523
257,0.002689427
258,0.0026889797
259,0.0026890745
260,0.00268857
261,0.0026882403
262,0.0026878463
263,0.0026874722
264,0.002690365
265,0.00268685
266,0.0026866545
267,0.002687705
268,0.0026868833
269,0.0026866829
270,0.0026856847
271,0.002685232
272,0.0026842325
273,0.0026848246
274,0.002684301
275,0.0026514046
276,0.0026884256
277,0.0026880873
278,0.002683834
279,0.0065911743
280,0.005237854
281,0.0044917217
282,0.0029178504
283,0.002619497
284,0.0026094157
285,0.002602248
286,0.0025983625
287,0.0025969087
288,0.0025967406
289,0.0025986987
290,0.0025978535
291,0.002602391
292,0.0026005697
293,0.0026011996
294,0.002602078
295,0.0026022303
296,0.0026051584
297,0.0026045914
298,0.0026040655
299,0.0026130178
300,0.0026123915
301,0.002645335
302,0.0026444092
303,0.0026672368
304,0.0026278684
305,0.0026411163
306,0.0026100888
307,0.0033722827
308,0.0026221708
309,0.002581858
310,0.0025816807
311,0.0025821445
312,0.0026231606
313,0.0025822795
314,0.0025831764
315,0.002585769
316,0.0025881012
317,0.0025857594
318,0.002585964
319,0.0027069051
320,0.0025861177
321,0.0025865352
322,0.0025870148
323,0.0025875713
324,0.0025879377
325,0.002593795
326,0.002605753
327,0.0025876588
328,0.002587723
329,0.0025876756
330,0.002588356
331,0.0025880202
332,0.0025879387
333,0.0026603497
334,0.0025860907
335,0.0025863526
336,0.002586691
337,0.0025867303
338,0.0025860658
339,0.00258611
340,0.0025856441
341,0.0025849545
342,0.0025850257
343,0.0025852995
344,0.002660367
345,0.0027251898
346,0.0025956612
347,0.0025997916
348,0.0026128408
349,0.00258875
350,0.0025844895
351,0.0026639546
352,0.0026294035
353,0.002606584
354,0.0025933734
355,0.0026000899
356,0.0025995367
357,0.0025993781
358,0.0026193177
359,0.0026344825
360,0.0026341851
361,0.002621817
362,0.002593552
363,0.002590843
364,0.0025889513
365,0.0026688166
366,0.0026369102
367,0.0025947148
368,0.0025920502
369,0.0025887142
370,0.0025881715
371,0.0025870197
372,0.0025864213
373,0.0025860504
374,0.00258576
375,0.0025855172
376,0.002585349
377,0.0025851699
378,0.0025850534
379,0.0025848583
380,0.0025847843
381,0.0025850665
382,0.0025844742
383,0.0026473245
384,0.0026386292
385,0.0026373463
386,0.0026364352
387,0.002635775
388,0.0026353924
389,0.0026355153
390,0.0026106052
391,0.0026287062
392,0.002602158
393,0.0026018904
394,0.0026018657
395,0.0026018037
396,0.002601677
397,0.0026016124
398,0.0026013511
399,0.0026016354
400,0.002601356
401,0.0026012943
402,0.0026008263
403,0.0025979814
404,0.0026006396
405,0.002600176
406,0.0033542549
407,0.0026032592
408,0.002584897
409,0.0025825112
410,0.0025823624
411,0.002582762
412,0.0025839729
413,0.002584521
414,0.0025845678
415,0.0025848395
416,0.0025849633
417,0.0025850649
418,0.0025856774
419,0.0025857745
420,0.0025858067
421,0.002585822
422,0.0025857878
423,0.0025857824
424,0.0025856178
425,0.0025856942
426,0.0025856076
427,0.002585573
428,0.0025853585
429,0.0025854984
430,0.0025852302
431,0.0025852746
432,0.0025851817
433,0.0025851082
434,0.0025848988
435,0.0025871196
436,0.0026827971
437,0.0026823313
438,0.0026799117
439,0.002678684
440,0.0026777135
441,0.002677
442,0.0026764343
443,0.0026759508
444,0.002675581
445,0.002675299
446,0.0026748274
447,0.0026743354
448,0.002674035
449,0.0026746395
450,0.0026743077
451,0.002673656
452,0.0026731463
453,0.0026787976
454,0.0026735642
455,0.0026799217
456,0.002672093
457,0.002672729
458,0.0026731908
459,0.0026723405
460,0.002671602
461,0.0026715673
462,0.002683271
463,0.0026755137
464,0.002671952
465,0.0026720166
466,0.0026721344
467,0.0026721077
468,0.0026720753
469,0.002671914
470,0.0026717875
471,0.0026715295
472,0.0026713195
473,0.002670946
474,0.0026705188
475,0.0026702033
476,0.0026705482
477,0.0026700275
478,0.0026695055
479,0.0026700627
480,0.0026700567
481,0.002672407
482,0.002670686
483,0.0026703754
484,0.0026699596
485,0.0026696257
486,0.002669554
487,0.0026692746
488,0.00266888
489,0.002668588
490,0.0026683393
491,0.0026690592
492,0.0026688366
493,0.002668704
494,0.002667889
495,0.002692961
496,0.0028462007
497,0.0026632892
498,0.0026636124
499,0.0026644603
